,Latitude (°N),Surface air temperature trend (°C year^-1)
162,1.40405445332361,-0.0002077905061618524
163,1.96567623419308,-0.00015652841859556646
164,2.52729801460213,-0.00012603640019015177
165,3.08891979441865,-9.412020202312856e-05
166,3.65054157350999,-9.174112398975965e-05
167,4.21216335174302,-0.00012180985330537474
168,4.77378512898387,-0.00020775209348585847
169,5.33540690509796,-0.0002502619283444346
170,5.89702867994979,-0.000278882639598862
171,6.45865045340296,-0.0002874792286671255
172,7.02027222531985,-0.00029693469407022626
173,7.58189399556175,-0.0002934671981020967
174,8.14351576398856,-0.00027329686325830866
175,8.70513753045879,-0.00025363936638613644
176,9.26675929482938,-0.0002450970335681935
177,9.8283810569556,-0.00023611229817305154
178,10.3900028166909,-0.00020144492017657332
179,10.9516245738869,-0.00016413849804577525
180,11.5132463283931,-0.0001491506664759273
181,12.0748680800568,-0.00012108512131316971
182,12.6364898287229,-9.563843250123161e-05
183,13.1981115742342,-8.376464058091659e-05
184,13.7597333164304,-6.815570690791393e-05
185,14.3213550551487,-6.150405001712426e-05
186,14.8829767902235,-4.7667676288431455e-05
187,15.4445985214858,-3.101717326584775e-05
188,16.0062202487636,-1.5370257779732148e-05
189,16.5678419718816,-3.505442486038176e-05
190,17.1294636906605,-2.6198592832861298e-05
191,17.6910854049175,-2.1243376690870167e-05
192,18.2527071144658,-4.071952239032862e-05
193,18.8143288191145,-7.987801885132119e-05
194,19.3759505186682,-0.00011912511274050378
195,19.9375722129269,-0.00015856634593007976
196,20.4991939016857,-0.0001841099661220855
197,21.0608155847349,-0.00019798968824554547
198,21.6224372618593,-0.0001882097592200428
199,22.184058932838,-0.0001973354785483074
200,22.7456805974447,-0.00018020500856221584
201,23.3073022554465,-0.00016838412438601475
202,23.8689239066043,-0.00017198211592753403
203,24.4305455506723,-0.00016455980274991517
204,24.9921671873976,-0.00018716730181835638
205,25.55378881652,-0.0002154353177508659
206,26.1154104377713,-0.00022540582752221292
207,26.6770320508754,-0.00022983693428848382
208,27.2386536555477,-0.0002409742618130409
209,27.8002752514945,-0.00025619110724309804
210,28.3618968384127,-0.0002675613712639868
211,28.9235184159896,-0.0003009638480464406
212,29.4851399839021,-0.0002884501172943811
213,30.046761541816,-0.0003119293390637834
214,30.6083830893861,-0.00030134143385374644
215,31.170004626255,-0.0002910778991589841
216,31.7316261520529,-0.0002834012411536812
217,32.2932476663967,-0.00026121563938092865
218,32.8548691688896,-0.00022880039422855768
219,33.4164906591199,-0.00019374839052369554
220,33.9781121366611,-0.00019658657783492385
221,34.53973360107,-0.0001615808824582627
222,35.1013550518869,-0.0001266945709387283
223,35.6629764886338,-0.0001441457131912696
224,36.2245979108143,-0.0001160726298655463
225,36.7862193179117,-8.824044926475319e-05
226,37.3478407093888,-5.1706460194243236e-05
227,37.909462084686,-1.0982149089523119e-05
228,38.4710834432205,2.0284296578800995e-05
229,39.0327047843849,3.502983438605926e-05
230,39.5943261075457,5.3667357351008207e-05
231,40.1559474120422,6.790835835247175e-05
232,40.7175686971841,5.6484999210976096e-05
233,41.2791899622508,4.748679588977691e-05
234,41.840811206489,7.036445392856435e-05
235,42.4024324291106,6.484066518855152e-05
236,42.9640536292911,8.444676622905191e-05
237,43.5256748061674,3.239835430803246e-05
238,44.0872959588346,3.197987936731929e-05
239,44.6489170863444,-1.655298304332974e-05
240,45.2105381877018,-1.1643941222639569e-05
241,45.7721592618623,-1.241409252799856e-05
242,46.3337803077285,-7.328268226504026e-06
243,46.895401324147,-1.4224811740294803e-05
244,47.4570223099043,-3.5382622073867276e-06
245,48.018643263723,-1.6486261503918635e-05
246,48.5802641842574,7.718463666188566e-06
247,49.1418850700887,7.74972926329859e-06
248,49.70350591972,1.5232911450894824e-05
249,50.2651267315709,2.6223461278731943e-05
250,50.826747503971,2.918768847002713e-05
251,51.3883682351539,3.419392950605886e-05
252,51.9499889232498,3.2039565190385707e-05
253,52.5116095662779,1.3780197468963292e-05
254,53.0732301621377,8.027113645093207e-06
255,53.6348507085999,1.3607061911960554e-06
256,54.1964712032965,1.5084616473453811e-05
257,54.7580916437092,6.298488227621016e-05
258,55.3197120271579,9.653925309796466e-05
259,55.8813323507866,0.0001066802135263004
260,56.4429526115493,0.0001506694973239951
261,57.0045728061936,0.00015849370195660637
262,57.5661929312427,0.0001681439646498412
263,58.1278129829758,0.00021754425348508713
264,58.6894329574061,0.00021098481928549017
265,59.2510528502565,0.0002394750553992292
266,59.8126726569327,0.00020813051386356314
267,60.374292372493,0.00026441742563254394
268,60.9359119916146,9.994372371622292e-05
269,61.4975315085564,0.00014107004605874517
270,62.0591509171167,7.232337350852832e-05
271,62.6207702105861,0.00011420994740922009
272,63.1823893816941,0.0001326951233493678
273,63.7440084225492,0.0002751251312831064
274,64.3056273245713,0.0002567858515491383
275,64.8672460784143,-4.583769448359156e-06
276,65.4288646738789,-1.5017275645791447e-05
277,65.9904830998127,-0.0001013676662824011
278,66.5521013439961,-6.607019220342261e-05
279,67.1137193930113,-3.697560543105758e-05
280,67.6753372320917,5.9243062545155234e-05
281,68.2369548449477,7.489136685401648e-05
282,68.7985722135654,0.00020831569620387432
283,69.3601893179717,0.00023716464186837087
284,69.9218061359604,0.0009799543563286126
285,70.4834226427713,0.0010550789466587474
286,71.0450388107113,0.0019928841376386087
287,71.6066546087075,0.0024439997429304364
288,72.1682700017747,0.002453045386698832
289,72.7298849503795,0.002670177092331403
290,73.2914994096763,0.002645996264031756
291,73.8531133285838,0.002737478999837589
292,74.414726648662,0.002764508292760522
293,74.9763393027374,0.002940049348989974
294,75.5379512132081,0.0030713143730402397
295,76.0995622899381,0.0031545153574250003
296,76.6611724276204,0.003445027142665539
297,77.2227815024451,0.0032762123769249753
298,77.7843893678486,0.0033518154253381442
299,78.3459958490356,0.003168941193443858
300,78.9076007358379,0.0030005958150073485
301,79.4692037732916,0.0029526007370081642
302,80.0308046490314,0.002993092235445577
303,80.5924029761777,0.003413410562409112
304,81.1539982697129,0.00339401180701765
305,81.7155899132664,0.0031115042771167733
306,82.2771771114337,0.002839181085544534
307,82.8387588197095,0.0026147612667036034
308,83.4003336387369,0.002425640967680831
309,83.9618996497181,0.0024040182688952255
310,84.5234541489144,0.0024242847308806642
311,85.0849932009119,0.002532233425973917
312,85.6465108479528,0.002532282968185549
313,86.2079976214231,0.0025897327980930404
314,86.7694375145276,0.0026397460881502975
315,87.3308011797376,0.0027784987087820534
316,87.8920284453444,0.0030048495777627504
317,88.452973836713,0.003243757558406229
318,89.013176131022,0.0032957574267171346
319,89.5700895506066,0.0033040077040893422
