 Year FSU-HYCOM MIROC-COCO4.9 CAS-LICOM3 AWI-FESOM CESM-POP NorESM-BLOM MRI.COM EC-Earth3-NEMO Kiel-NEMO GFDL-MOM CMCC-NEMO Observations ACCESS-OM2_new ACCESS_OM2_OMIP
28 1986.0 1.499331126792159e+22 1.2238011997327754e+22 4.838062528129246e+21 8.62035177567011e+21 1.3463212473464731e+22 6.490418140496706e+21 8.6974695937076e+21 1.4950742535033128e+22 6.448857631958642e+21 8.842483014107031e+21 1.3155109407026263e+20 2.6346373e+22 2.492813625153773e+22 -1.4931224867317605e+22
29 1987.0 1.5007627856484372e+22 1.2432987207805146e+22 3.71579057070833e+21 6.507993002167549e+21 1.7766240211969413e+22 1.1869474249424767e+22 1.0808014052382994e+22 1.5756185880455857e+22 6.422812815226894e+21 1.6966495707882716e+22 -2.3551668056780565e+21 2.9393914e+22 2.7202868368961903e+22 -1.633908240362757e+22
30 1988.0 2.120391377007409e+22 1.5209353667095122e+22 7.06339528664816e+21 1.0753202294145008e+22 2.1673815874396093e+22 3.845256025217281e+22 1.4496908050865163e+22 2.0656806410242107e+22 9.551161235099479e+21 5.1201263090947605e+22 3.1035879596436243e+22 2.7606363e+22 3.419996696925572e+22 -1.2360490670414344e+22
31 1989.0 2.831987619051283e+22 2.3668470222594394e+22 1.7223613173309848e+22 2.058606545121918e+22 2.5234362163936113e+22 5.10243703114835e+22 2.055390281981194e+22 3.0954252503093007e+22 1.7615166616193976e+22 6.8895858714325415e+22 5.154533402757609e+22 2.3288632e+22 4.577185809982951e+22 -5.725567790586943e+21
32 1990.0 2.883248836460419e+22 2.658318726243934e+22 2.0329104373280093e+22 2.2651884080016352e+22 2.878453215993467e+22 6.836207416430455e+22 2.4984125345756313e+22 3.520231946127393e+22 2.180766158481868e+22 9.009329626880204e+22 6.7114519811475605e+22 2.4339213e+22 5.151457810311108e+22 -4.993603014346599e+21
33 1991.0 3.03124436627919e+22 2.6613294697755804e+22 1.768497602977814e+22 2.1271960327796977e+22 3.0726376657006677e+22 5.562686519213187e+22 2.782562203835245e+22 3.7499643233657917e+22 2.352598700455709e+22 7.1606959856202574e+22 4.543511762453925e+22 4.952612e+22 5.65194283435817e+22 -4.851934048602399e+21
34 1992.0 1.5341200434168603e+22 1.0383750153604054e+22 -7.795411999389689e+20 1.990864224520413e+21 1.5920883378157477e+22 3.30328943595169e+22 1.3682279125080514e+22 2.0171937154624156e+22 8.236414388335297e+21 4.615169072216693e+22 1.6112998783561962e+22 5.815711e+22 4.263481265243631e+22 -2.3894878919378696e+22
35 1993.0 1.8818425509739296e+21 -3.465011483534556e+21 -1.3592437214073313e+22 -1.3601898963980362e+22 1.9639403267010635e+21 1.446355848202858e+22 3.377011900644774e+21 6.412523132348587e+21 -4.3956741597655686e+21 3.155977683100961e+22 -5.943408735382978e+21 5.7567474e+22 3.2070610894558635e+22 -3.8658179165054376e+22
36 1994.0 -4.7624450441043614e+20 -4.637401177520884e+21 -1.4115189989100816e+22 -1.3307020588144377e+22 -1.5521455790357437e+21 3.1218066485103726e+21 4.3945867729550254e+21 7.128038600411982e+21 -5.212623128657614e+21 2.566094317903867e+22 -1.8097373451257561e+22 5.32602e+22 3.419776905939313e+22 -4.013982367765918e+22
37 1995.0 1.351765250339586e+21 -1.6512030043924626e+21 -1.2991570855547594e+22 -1.070067013543448e+22 1.939225420227865e+21 3.4950721226294447e+22 7.049310181804852e+21 8.358909981034637e+21 -3.8021277506492307e+21 6.675895007955546e+22 1.7464624144029284e+22 6.459335e+22 3.949776720490567e+22 -3.748939751789048e+22
38 1996.0 4.5718681227393006e+21 1.0098713044389756e+21 -1.2096230179906527e+22 -7.551129237013687e+21 4.539388096430381e+21 1.7008967019527806e+22 9.69596314012243e+21 1.0934087836028876e+22 -1.8947232041552964e+21 5.099072146356253e+22 -2.946564387839538e+21 6.9498374e+22 4.450261744523886e+22 -3.4617610429099827e+22
39 1997.0 8.533824284284571e+21 5.219319193957409e+21 -1.1463755607315822e+22 -3.505800611176913e+21 7.411640247717965e+21 3.112391177667975e+22 1.3533584012698882e+22 1.1557369583723723e+22 1.0134172083373809e+21 7.1634313789974145e+22 9.304513305801468e+21 6.9123283e+22 5.054048535369978e+22 -3.0786592648476278e+22
40 1998.0 3.612531667411902e+21 -5.624506754492405e+20 -1.8876367293871695e+22 -9.395238457921491e+21 1.0263139811924774e+22 6.844163757870647e+22 1.1877533915825855e+22 1.3777768332524142e+21 -5.769900546895097e+21 1.1840606102708234e+23 4.737526809511281e+22 8.1492275e+22 5.1118117016342675e+22 -3.4112911568452035e+22
41 1999.0 2.8541919605690844e+21 1.5579034477215865e+21 -1.355150219753327e+22 -3.209272325329207e+21 8.957204430519292e+21 4.557521490755128e+22 1.2138792281111867e+22 4.667766021102898e+21 -5.240237198406345e+21 8.710604388129209e+22 2.79763446442888e+22 8.1507155e+22 5.663947609073973e+22 -3.1610059361273013e+22
42 2000.0 2.0510896119131312e+21 7.810328243403353e+21 -6.031474556421261e+21 4.4274157771818596e+21 1.2033523688124436e+22 4.811422994761547e+22 1.6208150376114295e+22 9.85661692704086e+21 9.479648946928117e+20 8.920202993623116e+22 2.4238706912042053e+22 9.202274e+22 6.5407462122109664e+22 -2.63033020547527e+22
